Query Name,PPL Query,Better Performance,Performance Improvement,Calcite Request Count,Non-Calcite Request Count,Calcite Median (ms),Non-Calcite Median (ms),Median Change,Calcite Average (ms),Non-Calcite Average (ms),Average Change,Calcite Min (ms),Non-Calcite Min (ms),Min Change,Calcite Max (ms),Non-Calcite Max (ms),Max Change,Calcite 95% (ms),Non-Calcite 95% (ms),95% Change,Calcite 99% (ms),Non-Calcite 99% (ms),99% Change,Calcite Requests/s,Non-Calcite Requests/s,Requests/s Change,Calcite Failures,Non-Calcite Failures
Aggregated,N/A,Non-Calcite,30.05% faster,2173,2130,37,26,42.31%,39.37080706400283,27.540054805511215,42.96%,30.79008311033249,22.176125086843967,38.84%,172.6182501297444,235.8791248407215,-26.82%,47,30,56.67%,110,86,27.91%,7.919412242703405,6.946877638760622,14.00%,0,0
PPL Query: vpc/11_sum_packets,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.packets`) as Packets by `aws.vpc.srcaddr` | sort - Packets | head 10,Non-Calcite,30.05% faster,2173,2130,37,26,42.31%,39.37080706400283,27.540054805511215,42.96%,30.79008311033249,22.176125086843967,38.84%,172.6182501297444,235.8791248407215,-26.82%,47,30,56.67%,110,86,27.91%,7.919412242703405,6.946877638760622,14.00%,0,0
