Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: vpc/11_sum_packets,1158,0,11,11.184984150572658,3.2131660263985395,263.4741251822561,634.0,8.339510951291775,0.0,11,13,14,15,17,18,19,20,260,260,260
,Aggregated,1158,0,11,11.184984150572658,3.2131660263985395,263.4741251822561,634.0,8.339510951291775,0.0,11,13,14,15,17,18,19,20,260,260,260
