Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/range_field_conjunction_big_range_big_term_query,382,0,5,5.355415452901661,1.5914159994281363,22.419375000026776,961.0,0.4238461297261588,0.0,5,6,7,7,8,10,12,14,22,22,22
POST,PPL Query: big5/range_field_conjunction_small_range_big_term_query,375,0,5,5.599674149372731,1.2669999996433035,33.250750000661355,961.0,0.4160793158306533,0.0,5,6,7,7,9,11,14,16,33,33,33
POST,PPL Query: big5/range_field_conjunction_small_range_small_term_query,383,0,5,5.836606929519815,1.4787499985686736,21.373625000705943,961.0,0.42495567456837385,0.0,5,7,7,8,9,11,13,16,21,21,21
POST,PPL Query: big5/range_field_disjunction_big_range_small_term_query,363,0,6,5.877094212157002,1.4323340001283213,58.291041999837034,961.0,0.4027647777240724,0.0,6,7,7,8,9,10,12,14,58,58,58
POST,PPL Query: big5/range_numeric,369,0,5,5.513434856416257,1.3876249995519174,20.801083999685943,961.0,0.4094220467773628,0.0,5,6,7,7,9,11,12,16,21,21,21
POST,PPL Query: big5/range_with_asc_sort,364,0,7,7.498871392881783,2.286291999553214,21.42529199954879,13415.0,0.4038743225662874,0.0,7,9,9,10,11,13,14,18,21,21,21
POST,PPL Query: big5/range_with_desc_sort,359,0,7,7.757916679658293,2.2781250008847564,25.284875000579632,13455.0,0.39832659835521206,0.0,7,9,10,10,12,14,16,21,25,25,25
POST,PPL Query: big5/scroll,380,0,5,5.899745473719745,1.5601249997416744,19.021165999220102,6530.0,0.42162704004172863,0.0,5,7,7,8,9,12,14,16,19,19,19
POST,PPL Query: big5/sort_keyword_can_match_shortcut,352,0,10,10.299872738564567,3.528834000462666,77.39337499879184,13450.0,0.3905597844597065,0.0,10,12,12,13,15,17,18,21,77,77,77
POST,PPL Query: big5/sort_keyword_no_can_match_shortcut,369,0,10,10.246787325139625,3.681500000311644,21.58387499912351,13450.0,0.4094220467773628,0.0,10,12,12,13,15,16,17,19,22,22,22
POST,PPL Query: big5/sort_numeric_asc,350,0,6,6.308057065746523,1.696833000096376,17.361959000481875,9679.0,0.3883406947752764,0.0,6,7,8,9,11,12,13,15,17,17,17
POST,PPL Query: big5/sort_numeric_desc,381,0,6,6.137461312281871,1.966125000762986,20.17416699891328,6547.0,0.4227365848839437,0.0,6,7,8,8,9,11,14,15,20,20,20
POST,PPL Query: big5/term,367,0,5,5.437088771143514,1.285165999433957,14.8827920002077,961.0,0.40720295709293264,0.0,5,6,7,7,9,11,13,14,15,15,15
POST,PPL Query: big5/terms_significant_1,367,0,7,7.93133437866583,2.338374999453663,69.94608300010441,880.0,0.40720295709293264,0.0,7,9,10,10,12,14,16,18,70,70,70
POST,PPL Query: big5/terms_significant_2,340,0,8,8.529016885276018,2.2485000008600764,174.9160409999604,853.0,0.3772452463531256,0.0,8,9,10,11,12,15,17,19,170,170,170
,Aggregated,16944,0,7,7.326882073302768,1.2669999996433035,216.372875000161,5867.364140698773,18.800127806492238,0.0,7,8,9,10,12,14,17,19,37,170,220
