Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,PPL Query: big5/range_field_conjunction_big_range_big_term_query,362,0,6,7.190698215321923,2.8231249998498242,20.940458000040962,961.0,0.4019847765060694,0.0,6,7,8,9,12,15,17,19,21,21,21
POST,PPL Query: big5/range_field_conjunction_small_range_big_term_query,342,0,6,6.693749760245614,2.6248750000377186,19.400499999392196,961.0,0.37977567283170094,0.0,6,7,8,9,11,13,15,16,19,19,19
POST,PPL Query: big5/range_field_conjunction_small_range_small_term_query,367,0,6,7.118850122716618,2.844375001586741,20.936083999913535,961.0,0.40753705242466154,0.0,6,7,8,8,11,14,16,17,21,21,21
POST,PPL Query: big5/range_field_disjunction_big_range_small_term_query,373,0,6,7.4916064235508655,2.7681669998855796,21.836874999280553,961.0,0.41419978352697207,0.0,6,8,9,9,12,15,17,19,22,22,22
POST,PPL Query: big5/range_numeric,344,0,6,6.801577369107986,2.2987920019659214,20.477041000049212,961.0,0.3819965831991378,0.0,6,7,8,9,11,14,17,18,20,20,20
POST,PPL Query: big5/range_with_asc_sort,379,0,10,11.63749020039815,5.003999998734798,27.302541999233654,13255.0,0.42086251462928265,0.0,10,12,13,15,18,21,24,26,27,27,27
POST,PPL Query: big5/range_with_desc_sort,331,0,10,11.230168580181783,4.259084002114832,33.43341700019664,13295.0,0.36756066581079827,0.0,10,12,13,14,17,19,22,24,33,33,33
POST,PPL Query: big5/scroll,363,0,5,5.585403680361346,1.9179999981133733,28.840208000474377,6530.0,0.40309523168978784,0.0,5,6,6,7,10,11,14,14,29,29,29
POST,PPL Query: big5/sort_keyword_can_match_shortcut,374,0,12,13.34954548657701,6.2890829976822715,29.481083000064245,13290.0,0.4153102387106905,0.0,12,14,16,17,21,24,25,28,29,29,29
POST,PPL Query: big5/sort_keyword_no_can_match_shortcut,360,0,13,13.726281033359555,6.348708000587067,33.145332999993116,13290.0,0.3997638661386326,0.0,13,15,16,17,21,24,27,29,33,33,33
POST,PPL Query: big5/sort_numeric_asc,341,0,7,8.270598841646992,3.2074580012704246,23.223000000143657,9599.0,0.3786652176479825,0.0,7,8,9,11,13,16,19,20,23,23,23
POST,PPL Query: big5/sort_numeric_desc,347,0,7,8.002414881897236,3.214499996829545,27.29383300174959,6547.0,0.3853279487502931,0.0,7,8,9,10,13,16,18,22,27,27,27
POST,PPL Query: big5/term,342,0,6,6.716996041023239,2.350708000449231,20.37716699851444,961.0,0.37977567283170094,0.0,6,7,8,8,11,13,15,17,20,20,20
POST,PPL Query: big5/terms_significant_1,367,0,11,12.2719842070864,4.710917000920745,39.25416699894413,880.0,0.40753705242466154,0.0,11,13,14,15,19,21,24,26,39,39,39
POST,PPL Query: big5/terms_significant_2,332,0,11,11.637892924819063,5.0923749986395705,42.12304099928588,853.0,0.3686711209945167,0.0,11,12,14,14,18,22,24,25,42,42,42
,Aggregated,16888,0,10,10.942187117438987,1.9179999981133733,82.92720900135464,5937.955175272383,18.75336714263674,0.0,10,12,14,15,19,23,27,30,39,57,83
